origin_index,target_index,origin_period,target_period,target_quarter,horizon,actual,raw_forecast,residual,quarter_sin,quarter_cos,last_value,seasonal_lag4,mean_last4,std_last4,recent_change,gpr_correction,gpr_std,corrected_forecast,gpr_train_rows
140,140,2021 Q4,2022 Q1,1,1.0,5686850.0,5431883.6,254966.40000000037,0.0,1.0,6245213.0,5599880.0,5652083.75,470059.57309812075,1301197.0,,,,0
140,141,2021 Q4,2022 Q2,2,2.0,5724851.0,5644649.22,80201.78000000026,1.0,6.123233995736766e-17,6245213.0,5599880.0,5652083.75,470059.57309812075,1301197.0,,,,0
140,142,2021 Q4,2022 Q3,3,3.0,4634030.0,4795695.52,-161665.51999999955,1.2246467991473532e-16,-1.0,6245213.0,5599880.0,5652083.75,470059.57309812075,1301197.0,,,,0
140,143,2021 Q4,2022 Q4,4,4.0,6059590.0,6057856.609999999,1733.390000000596,-1.0,-1.8369701987210297e-16,6245213.0,5599880.0,5652083.75,470059.57309812075,1301197.0,,,,0
141,141,2022 Q1,2022 Q2,2,1.0,5724851.0,5644649.22,80201.78000000026,1.0,6.123233995736766e-17,5686850.0,5819226.0,5673826.25,469152.56698774174,-558363.0,,,,1
141,142,2022 Q1,2022 Q3,3,2.0,4634030.0,4795695.52,-161665.51999999955,1.2246467991473532e-16,-1.0,5686850.0,5819226.0,5673826.25,469152.56698774174,-558363.0,,,,1
141,143,2022 Q1,2022 Q4,4,3.0,6059590.0,6057856.609999999,1733.390000000596,-1.0,-1.8369701987210297e-16,5686850.0,5819226.0,5673826.25,469152.56698774174,-558363.0,,,,1
141,144,2022 Q1,2023 Q1,1,4.0,5619468.0,5516244.5,103223.5,0.0,1.0,5686850.0,5819226.0,5673826.25,469152.56698774174,-558363.0,,,,1
142,142,2022 Q2,2022 Q3,3,1.0,4634030.0,4795695.52,-161665.51999999955,1.2246467991473532e-16,-1.0,5724851.0,4944016.0,5650232.5,463587.1822270866,38001.0,,,,3
142,143,2022 Q2,2022 Q4,4,2.0,6059590.0,6057856.609999999,1733.390000000596,-1.0,-1.8369701987210297e-16,5724851.0,4944016.0,5650232.5,463587.1822270866,38001.0,,,,3
142,144,2022 Q2,2023 Q1,1,3.0,5619468.0,5516244.5,103223.5,0.0,1.0,5724851.0,4944016.0,5650232.5,463587.1822270866,38001.0,,,,3
142,145,2022 Q2,2023 Q2,2,4.0,5809971.0,5553105.47,256865.53000000026,1.0,6.123233995736766e-17,5724851.0,4944016.0,5650232.5,463587.1822270866,38001.0,,,,3
143,143,2022 Q3,2022 Q4,4,1.0,6059590.0,6057856.609999999,1733.390000000596,-1.0,-1.8369701987210297e-16,4634030.0,6245213.0,5572736.0,585139.9935455617,-1090821.0,,,,6
143,144,2022 Q3,2023 Q1,1,2.0,5619468.0,5516244.5,103223.5,0.0,1.0,4634030.0,6245213.0,5572736.0,585139.9935455617,-1090821.0,,,,6
143,145,2022 Q3,2023 Q2,2,3.0,5809971.0,5553105.47,256865.53000000026,1.0,6.123233995736766e-17,4634030.0,6245213.0,5572736.0,585139.9935455617,-1090821.0,,,,6
143,146,2022 Q3,2023 Q3,3,4.0,4794645.0,4495009.1,299635.9000000004,1.2246467991473532e-16,-1.0,4634030.0,6245213.0,5572736.0,585139.9935455617,-1090821.0,,,,6
144,144,2022 Q4,2023 Q1,1,1.0,5619468.0,5516244.5,103223.5,0.0,1.0,6059590.0,5686850.0,5526330.25,535196.8739260231,1425560.0,,,,10
144,145,2022 Q4,2023 Q2,2,2.0,5809971.0,5553105.47,256865.53000000026,1.0,6.123233995736766e-17,6059590.0,5686850.0,5526330.25,535196.8739260231,1425560.0,,,,10
144,146,2022 Q4,2023 Q3,3,3.0,4794645.0,4495009.1,299635.9000000004,1.2246467991473532e-16,-1.0,6059590.0,5686850.0,5526330.25,535196.8739260231,1425560.0,,,,10
144,147,2022 Q4,2023 Q4,4,4.0,6037227.0,5877802.3,159424.7000000002,-1.0,-1.8369701987210297e-16,6059590.0,5686850.0,5526330.25,535196.8739260231,1425560.0,,,,10
145,145,2023 Q1,2023 Q2,2,1.0,5809971.0,5553105.47,256865.53000000026,1.0,6.123233995736766e-17,5619468.0,5724851.0,5509484.75,530922.7209054887,-440122.0,59902.49523234036,47371.4013272683,5613007.96523234,14
145,146,2023 Q1,2023 Q3,3,2.0,4794645.0,4495009.1,299635.9000000004,1.2246467991473532e-16,-1.0,5619468.0,5724851.0,5509484.75,530922.7209054887,-440122.0,25012.09306118968,108272.61519846953,4520021.19306119,14
145,147,2023 Q1,2023 Q4,4,3.0,6037227.0,5877802.3,159424.7000000002,-1.0,-1.8369701987210297e-16,5619468.0,5724851.0,5509484.75,530922.7209054887,-440122.0,24676.634485551476,108256.42384526548,5902478.934485551,14
145,148,2023 Q1,2024 Q1,1,4.0,5793956.0,5450883.96,343072.04000000004,0.0,1.0,5619468.0,5724851.0,5509484.75,530922.7209054887,-440122.0,239688.95048792724,21880.203800355583,5690572.9104879275,14
146,146,2023 Q2,2023 Q3,3,1.0,4794645.0,4495009.1,299635.9000000004,1.2246467991473532e-16,-1.0,5809971.0,4634030.0,5530764.75,540743.4126956032,190503.0,76536.8377777781,117188.51014791265,4571545.937777778,18
