year,quarter,production_mt
1987,1,4377425.0
1987,2,4431986.0
1987,3,3618362.0
1987,4,4860019.0
1988,1,4273307.0
1988,2,4503913.0
1988,3,3653223.0
1988,4,4832015.0
1989,1,4525667.0
1989,2,4614883.0
1989,3,3782934.0
1989,4,4983501.0
1990,1,4576710.0
1990,2,4827066.0
1990,3,3770192.0
1990,4,4851058.0
1991,1,4609805.0
1991,2,4636695.0
1991,3,3796833.0
1991,4,4906737.0
1992,1,4537038.0
1992,2,4634151.0
1992,3,3796877.0
1992,4,4864358.0
1993,1,4481484.0
1993,2,4630801.0
1993,3,3703880.0
1993,4,4883666.0
1994,1,4534330.0
1994,2,4684215.0
1994,3,3838507.0
1994,4,4811723.0
1995,1,4457088.0
1995,2,4587261.0
1995,3,3725693.0
1995,4,4984037.0
1996,1,4536692.0
1996,2,4638074.0
1996,3,3658279.0
1996,4,5011674.0
1997,1,4692248.0
1997,2,4847791.0
1997,3,3763574.0
1997,4,5069610.0
1998,1,4734805.0
1998,2,4919567.0
1998,3,4003541.0
1998,4,5169768.0
1999,1,4884257.0
1999,2,5001421.0
1999,3,4041936.0
1999,4,5291456.0
2000,1,4770160.0
2000,2,5036971.0
2000,3,4035497.0
2000,4,5230000.0
2001,1,4919960.0
2001,2,5234072.0
2001,3,4024064.0
2001,4,5389375.0
2002,1,4798960.0
2002,2,5066625.0
2002,3,4106165.0
2002,4,5337714.0
2003,1,4991395.0
2003,2,5140535.0
2003,3,4029160.0
2003,4,5210353.0
2004,1,4970960.0
2004,2,5019000.0
2004,3,3914906.0
2004,4,5122551.0
2005,1,4788235.0
2005,2,5064023.0
2005,3,4032451.0
2005,4,5284360.0
2006,1,4838695.0
2006,2,5048770.0
2006,3,4100602.0
2006,4,5228674.0
2007,1,4962184.0
2007,2,5028279.0
2007,3,4074007.0
2007,4,5292994.0
2008,1,4891986.0
2008,2,5217012.0
2008,3,4155515.0
2008,4,5424141.0
2009,1,5141874.0
2009,2,5314373.0
2009,3,4359288.0
2009,4,5515056.0
2010,1,5159313.0
2010,2,5362392.0
2010,3,4238253.0
2010,4,5478563.0
2011,1,5156386.0
2011,2,5350074.0
2011,3,4487853.0
2011,4,5580005.0
2012,1,5284644.0
2012,2,5590372.0
2012,3,4443798.0
2012,4,5742441.0
2013,1,5240193.0
2013,2,5452045.0
2013,3,4379759.0
2013,4,5628165.0
2014,1,5376720.0
2014,2,5287374.0
2014,3,4473339.0
2014,4,5647061.0
2015,1,5213978.0
2015,2,5279797.0
2015,3,4409955.0
2015,4,5550665.0
2016,1,5265729.0
2016,2,5395082.0
2016,3,4537669.0
2016,4,5574590.0
2017,1,5158992.0
2017,2,5424638.0
2017,3,4438144.0
2017,4,5752930.0
2018,1,5370362.0
2018,2,5494137.0
2018,3,4612579.0
2018,4,5594592.0
2019,1,5316290.0
2019,2,5464069.0
2019,3,4536970.0
2019,4,5673415.0
2020,1,5530074.0
2020,2,5628485.0
2020,3,4541321.0
2020,4,5806793.0
2021,1,5599880.0
2021,2,5819226.0
2021,3,4944016.0
2021,4,6245213.0
2022,1,5686850.0
2022,2,5724851.0
2022,3,4634030.0
2022,4,6059590.0
2023,1,5619468.0
2023,2,5809971.0
2023,3,4794645.0
2023,4,6037227.0
2024,1,5793956.0
2024,2,5858438.0
2024,3,4824727.0
2024,4,5939192.0
2025,1,5524079.0
2025,2,5772765.0
2025,3,4803097.0
2025,4,6158478.0
